Year,Cause Name,Cause converted,Deaths,Age-adjusted Death Rate
2001,Influenza and pneumonia,6,"62,034",22.2
2000,Influenza and pneumonia,6,"65,313",23.7
1999,Influenza and pneumonia,6,"63,730",23.5
2017,Kidney disease,7,"50,633",13
2016,Kidney disease,7,"50,046",13.1
2015,Kidney disease,7,"49,959",13.4
2014,Kidney disease,7,"48,146",13.2
2013,Kidney disease,7,"47,112",13.2
2012,Kidney disease,7,"45,622",13.1
2011,Kidney disease,7,"45,591",13.4
2010,Kidney disease,7,"50,476",15.3
2009,Kidney disease,7,"48,935",15.1
2008,Kidney disease,7,"48,237",15.1
2007,Kidney disease,7,"46,448",14.9
2006,Kidney disease,7,"45,344",14.8
2005,Kidney disease,7,"43,901",14.7
2004,Kidney disease,7,"42,480",14.5
2003,Kidney disease,7,"42,453",14.7
2002,Kidney disease,7,"40,974",14.4
2001,Kidney disease,7,"39,480",14.1
2000,Kidney disease,7,"37,251",13.5
1999,Kidney disease,7,"35,525",13
2017,Stroke,8,"146,383",37.6
2016,Stroke,8,"142,142",37.3
2015,Stroke,8,"140,323",37.6
2014,Stroke,8,"133,103",36.5
2013,Stroke,8,"128,978",36.2
2012,Stroke,8,"128,546",36.9
2011,Stroke,8,"128,932",37.9
2010,Stroke,8,"129,476",39.1
2009,Stroke,8,"128,842",39.6
2008,Stroke,8,"134,148",42.1
2007,Stroke,8,"135,952",43.5
2006,Stroke,8,"137,119",44.8
2005,Stroke,8,"143,579",48
2004,Stroke,8,"150,074",51.2
2003,Stroke,8,"157,689",54.6
2002,Stroke,8,"162,672",57.2
2001,Stroke,8,"163,538",58.4
2000,Stroke,8,"167,661",60.9
1999,Stroke,8,"167,366",61.6
2017,Suicide,9,"47,173",14
2016,Suicide,9,"44,965",13.5
2015,Suicide,9,"44,193",13.3
2014,Suicide,9,"42,826",13
2013,Suicide,9,"41,149",12.6
2012,Suicide,9,"40,600",12.6
2011,Suicide,9,"39,518",12.3
2010,Suicide,9,"38,364",12.1
2009,Suicide,9,"36,909",11.8
2008,Suicide,9,"36,035",11.6
2007,Suicide,9,"34,598",11.3
2006,Suicide,9,"33,300",11
2005,Suicide,9,"32,637",10.9
2004,Suicide,9,"32,439",11
2003,Suicide,9,"31,484",10.8
2002,Suicide,9,"31,655",11
2001,Suicide,9,"30,622",10.7
2000,Suicide,9,"29,350",10.4
1999,Suicide,9,"29,199",10.5
2017,Unintentional injuries,10,"169,936",49.4
2016,Unintentional injuries,10,"161,374",47.4
2015,Unintentional injuries,10,"146,571",43.2
2014,Unintentional injuries,10,"135,928",40.5
2013,Unintentional injuries,10,"130,557",39.4
2012,Unintentional injuries,10,"127,792",39.1
2011,Unintentional injuries,10,"126,438",39.1
2010,Unintentional injuries,10,"120,859",38
2009,Unintentional injuries,10,"118,021",37.5
2008,Unintentional injuries,10,"121,902",39.3
2007,Unintentional injuries,10,"123,706",40.4
2006,Unintentional injuries,10,"121,599",40.2
2005,Unintentional injuries,10,"117,809",39.5
2004,Unintentional injuries,10,"112,012",38.1
2003,Unintentional injuries,10,"109,277",37.6
2002,Unintentional injuries,10,"106,742",37.1
2001,Unintentional injuries,10,"101,537",35.7
2000,Unintentional injuries,10,"97,900",34.9
1999,Unintentional injuries,10,"97,860",35.3
